Month,Open,High,Low,Close,Percent Increase/descrease
Jan-00,5209.54,5668.28,5184.48,5205.29,-0.000815811
Feb-00,5217.65,6150.69,5127.79,5446.98,0.043952737
Mar-00,5464.65,5828.79,4867.23,5001.28,-0.084794086
Apr-00,5070.5,5542.81,4284.17,4657.55,-0.081441672
May-00,4736.02,4757.89,3831.86,4433.61,-0.063853193
Jun-00,4406.52,4919.63,4321.26,4748.77,0.077669
Jul-00,4846.69,5058.9,4052.61,4279.86,-0.116951982
Aug-00,4295.35,4500.3,4142.81,4477.31,0.042362089
Sep-00,4571.89,4790.63,4004.73,4090.38,-0.105319682
Oct-00,4035.64,4197.39,3491.55,3711.02,-0.080438295
Nov-00,3749.35,4046.19,3734.98,3997.99,0.066315495
Dec-00,3968.89,4332.65,3803.69,3972.12,0.00081383
Jan-01,3990.65,4409.33,3929.37,4326.72,0.084214351
Feb-01,4303.13,4462.11,4020.68,4247.04,-0.013034698
Mar-01,4288.23,4386.98,3436.75,3604.38,-0.15947139
Apr-01,3491.41,3676.82,3096.51,3519.16,0.007948078
May-01,3565.53,3759.96,3420.14,3631.91,0.018617148
Jun-01,3637.03,3651.32,3287.94,3456.78,-0.049559668
Jul-01,3480.06,3513.79,3241.66,3329.28,-0.043326839
Aug-01,3335,3359.07,3241.12,3244.95,-0.027001499
Sep-01,3245.71,3267.93,2594.87,2811.6,-0.133748856
Oct-01,2817.74,3083.65,2718.41,2989.35,0.060903419
Nov-01,3003.95,3377.81,3003.95,3287.56,0.094412357
Dec-01,3301.05,3500.2,3100.57,3262.33,-0.011729601
Jan-02,3262.01,3466.73,3236.76,3311.03,0.015027544
Feb-02,3334.69,3758.11,3290,3562.31,0.068258219
Mar-02,3551.56,3758.27,3454.27,3469.35,-0.023147575
Apr-02,3482.94,3538.49,3296.88,3338.16,-0.04156833
May-02,3361.33,3478.02,3097.73,3125.73,-0.070091303
Jun-02,3162.27,3377.88,3148.57,3244.7,0.026066718
Jul-02,3246.44,3366.74,2932.35,2987.65,-0.079715011
Aug-02,2998.46,3185.08,2931.78,3181.23,0.060954623
Sep-02,3206.81,3227.62,2973.97,2991.36,-0.067185147
Oct-02,2976.04,3038.92,2828.48,2949.32,-0.008978374
Nov-02,2956.94,3245.98,2928.63,3228.82,0.091946404
Dec-02,3247.6,3413.83,3186.62,3377.28,0.039931026
Jan-03,3383.85,3416.92,3199.18,3250.38,-0.039443238
Feb-03,3260.04,3341.61,3218.37,3283.66,0.00724531
Mar-03,3301.67,3311.57,3039.83,3048.72,-0.076612744
Apr-03,3037.54,3221.9,2904.44,2959.79,-0.025596371
May-03,2949.04,3200.48,2934.78,3180.75,0.078571332
Jun-03,3176.56,3632.84,3170.38,3607.13,0.135545999
Jul-03,3617.74,3835.75,3534.06,3792.61,0.048336807
Aug-03,3800.73,4277.64,3722.08,4244.73,0.116819664
Sep-03,4248.07,4473.57,4097.55,4453.24,0.048297227
Oct-03,4452.07,4951.11,4432.93,4906.87,0.102154728
Nov-03,4946.93,5135,4736.7,5044.82,0.01978803
Dec-03,5086.86,5920.76,5082.82,5838.96,0.147851523
Jan-04,5872.48,6249.6,5567.68,5695.67,-0.030108234
Feb-04,5715.46,6082.8,5550.17,5667.51,-0.008389526
Mar-04,5649.3,5951.03,5324.78,5590.6,-0.010390668
Apr-04,5599.12,5979.25,5599.12,5655.09,0.009996214
May-04,5645.86,5772.64,4227.5,4759.62,-0.156971657
Jun-04,4792.01,5012.52,4613.94,4795.46,0.000719948
Jul-04,4813.76,5200.85,4723.04,5170.32,0.074070996
Aug-04,5193.25,5269.22,5022.29,5192.08,-0.000225292
Sep-04,5202.16,5638.79,5178.57,5583.61,0.073325311
Oct-04,5587.46,5803.82,5558.14,5672.27,0.015178632
Nov-04,5678.65,6248.43,5649.03,6234.29,0.0978472
Dec-04,6259.28,6617.15,6176.09,6602.69,0.054864138
Jan-05,6626.49,6696.31,6069.33,6555.94,-0.010646662
Feb-05,6565.21,6721.08,6508.33,6713.86,0.022642078
Mar-05,6725.92,6954.86,6321.31,6492.82,-0.034656969
Apr-05,6506.6,6649.42,6118.42,6154.44,-0.054123505
May-05,6183.07,6772.74,6140.97,6715.11,0.086047869
Jun-05,6729.39,7228.21,6647.36,7193.85,0.069019629
Jul-05,7165.45,7708.59,7123.11,7635.42,0.065588344
Aug-05,7632.01,7921.39,7537.5,7805.43,0.022722717
Sep-05,7818.9,8722.17,7818.9,8634.48,0.10430879
Oct-05,8662.99,8821.84,7656.15,7892.32,-0.088961202
Nov-05,7989.86,9033.99,7891.23,8788.81,0.099995494
Dec-05,8813.82,9442.98,8769.56,9397.93,0.066272059
Jan-06,9422.49,9945.19,9158.44,9919.89,0.052788594
Feb-06,9959.24,10422.65,9713.51,10370.24,0.041268209
Mar-06,10368.75,11356.95,10344.26,11279.96,0.08788041
Apr-06,11342.96,12102,11008.43,12042.56,0.061677023
May-06,12103.78,12671.11,9826.91,10398.61,-0.14087913
Jun-06,10472.46,10626.84,8799.01,10609.25,0.013061878
Jul-06,10616.97,10940.45,9875.35,10743.88,0.011953505
Aug-06,10737.5,11794.43,10645.99,11699.05,0.08955064
Sep-06,11699.57,12485.17,11444.18,12454.42,0.064519465
Oct-06,12473.79,13075.85,12178.83,12961.9,0.03913085
Nov-06,12992.62,13799.08,12937.3,13696.31,0.054160747
Dec-06,13729.67,14035.3,12801.65,13786.91,0.004169073
Jan-07,13827.77,14325.92,13303.22,14090.92,0.019030545
